ticker,strategy,region,latest_signal,latest_signal_date,final_price,total_return,buy_hold_return
8306.T,RSI,Asia,SELL,2026-06-22,3205.0,0.49365638607029033,5.2726509954874805
8306.T,ADX_DI,Asia,SELL,2026-05-18,3205.0,0.6756496296403864,5.2726509954874805
8306.T,ATR_Breakout,Asia,BUY,2026-05-20,3205.0,-0.09370884367437284,5.2726509954874805
8306.T,SMA_Crossover,Asia,BUY,2024-11-20,3205.0,2.018356399879019,5.2726509954874805
8306.T,EMA_Crossover,Asia,BUY,2026-04-09,3205.0,0.1752531886793664,5.2726509954874805
8306.T,MACD,Asia,BUY,2026-06-04,3205.0,0.703782667667996,5.2726509954874805
8306.T,Bollinger_Mean_Reversion,Asia,SELL,2026-06-24,3205.0,0.16747185376475954,5.2726509954874805
8306.T,Stochastic,Asia,SELL,2026-06-05,3205.0,1.0510859964804462,5.2726509954874805
8306.T,CCI,Asia,SELL,2026-06-22,3205.0,0.5285119862140009,5.2726509954874805
8306.T,MFI,Asia,SELL,2026-06-19,3205.0,0.49583238642799426,5.2726509954874805
8306.T,OBV,Asia,BUY,2026-05-12,3205.0,0.7374693675146725,5.2726509954874805
8306.T,VWAP,Asia,SELL,2022-09-28,3205.0,0.055841730632528376,5.2726509954874805
8306.T,Supertrend,Asia,BUY,2026-05-19,3205.0,1.6140827037230232,5.2726509954874805
8306.T,Parabolic_SAR,Asia,BUY,2026-06-05,3205.0,0.29403610319400214,5.2726509954874805
8306.T,Williams_R,Asia,SELL,2026-06-23,3205.0,1.571078916945757,5.2726509954874805
8306.T,ROC_Momentum,Asia,BUY,2026-05-13,3205.0,1.0391891177889967,5.2726509954874805
8306.T,Donchian_Channel,Asia,BUY,2026-05-19,3205.0,1.1743285781929407,5.2726509954874805
8306.T,Keltner_Channel,Asia,BUY,2026-05-20,3205.0,0.2640461390747747,5.2726509954874805
6861.T,RSI,Asia,SELL,2026-06-18,76750.0,0.30189124422483965,0.41716709538231306
6861.T,ADX_DI,Asia,SELL,2026-06-24,76750.0,-0.04494807620738902,0.41716709538231306
6861.T,ATR_Breakout,Asia,SELL,2026-05-18,76750.0,-0.23357422378646633,0.41716709538231306
6861.T,SMA_Crossover,Asia,BUY,2026-02-26,76750.0,0.060743816532713026,0.41716709538231306
6861.T,EMA_Crossover,Asia,BUY,2026-04-13,76750.0,-0.31111995433265727,0.41716709538231306
6861.T,MACD,Asia,SELL,2026-05-19,76750.0,-0.12767451936738125,0.41716709538231306
6861.T,Bollinger_Mean_Reversion,Asia,SELL,2026-06-24,76750.0,1.0980000063429372,0.41716709538231306
6861.T,Stochastic,Asia,BUY,2026-06-12,76750.0,0.21798370997692346,0.41716709538231306
6861.T,CCI,Asia,BUY,2026-06-16,76750.0,1.1412191551369764,0.41716709538231306
