ticker,strategy,total_return,annualized_return,sharpe_ratio,max_drawdown,num_trades,avg_trade_return,best_trade,worst_trade,win_rate,profit_factor,exposure_time,buy_hold_return,excess_return,latest_signal,latest_signal_date,final_price,final_portfolio_value,start_date,end_date,initial_capital,region
7203.T,RSI,0.4796964924298396,0.08171765464920822,0.1969646679443264,-0.2503225051005174,16,0.03173244745910755,0.13520833333333335,-0.07544303797468355,0.625,3.916696776017516,0.17014270032930845,0.5718687530990058,-0.09217226066916617,BUY,2026-06-08,2686.0,14796.964924298396,2021-06-28,2026-06-24,10000,Asia
7203.T,ADX_DI,-0.06155382584794352,-0.012654838975571847,-0.10421409485108282,-0.29873845557137674,29,0.0017146523736807334,0.27906110283159463,-0.055193394176445025,0.3103448275862069,1.0912847767059735,0.21734357848518113,0.5718687530990058,-0.6334225789469493,SELL,2026-06-24,2686.0,9384.461741520565,2021-06-28,2026-06-24,10000,Asia
7203.T,ATR_Breakout,-0.07053586352062648,-0.014556549762185234,-0.11028318214450697,-0.303529330657361,17,-0.00021133921254269701,0.19479166666666667,-0.06109839816933638,0.35294117647058826,0.9919804900559409,0.16794731064763996,0.5718687530990058,-0.6424046166196322,SELL,2026-01-26,2686.0,9294.641364793735,2021-06-28,2026-06-24,10000,Asia
7203.T,SMA_Crossover,-0.1155420446096803,-0.02431290151386145,-0.14141943633367368,-0.47598787052134595,4,-0.02480510170282174,0.06666666666666667,-0.15045045045045044,0.5,0.46565411261183337,0.4066959385290889,0.5718687530990058,-0.6874107977086861,SELL,2026-05-27,2686.0,8844.579553903197,2021-06-28,2026-06-24,10000,Asia
7203.T,EMA_Crossover,0.019298701702793006,0.0038392372202771252,-0.051575182056533025,-0.3972911398973837,26,0.007235810328472833,0.3951612903225806,-0.07828810020876827,0.2692307692307692,1.254058579249657,0.5548847420417125,0.5718687530990058,-0.5525700513962127,SELL,2026-03-09,2686.0,10192.98701702793,2021-06-28,2026-06-24,10000,Asia
7203.T,MACD,-0.31594250215994224,-0.07329482373796226,-0.29773950554208145,-0.36663600416054387,56,-0.0035594799663675562,0.1331567996973709,-0.10256410256410256,0.35714285714285715,0.8338255264090665,0.49012074643249176,0.5718687530990058,-0.887811255258948,SELL,2026-06-23,2686.0,6840.5749784005775,2021-06-28,2026-06-24,10000,Asia
7203.T,Bollinger_Mean_Reversion,0.03499538011118966,0.006919267771333004,-0.041745625211004306,-0.37077319529128616,21,0.00493743730932853,0.07924528301886792,-0.15648,0.5714285714285714,1.3078294480821449,0.19978046103183314,0.5718687530990058,-0.5368733729878161,SELL,2026-05-29,2686.0,10349.953801111897,2021-06-28,2026-06-24,10000,Asia
7203.T,Stochastic,0.5276433925417032,0.08865493892382759,0.21910419838099265,-0.3726744139898334,16,0.045382358243942766,0.22063492063492063,-0.10161030595813204,0.6875,3.9216994549649096,0.39901207464324917,0.5718687530990058,-0.04422536055730253,BUY,2026-03-09,2686.0,15276.433925417032,2021-06-28,2026-06-24,10000,Asia
7203.T,CCI,0.3778209447994297,0.06635913262226345,0.14794974331138577,-0.2555925354443462,31,0.015339685313552627,0.1761904761904762,-0.06769662921348314,0.5161290322580645,2.297074875141463,0.3397365532381998,0.5718687530990058,-0.19404780829957607,BUY,2026-06-08,2686.0,13778.209447994297,2021-06-28,2026-06-24,10000,Asia
7203.T,MFI,-0.20822838595455878,-0.045726902907145206,-0.20975971429401882,-0.20822838595455878,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5718687530990058,-0.7800971390535645,BUY,2026-03-25,2686.0,7917.716140454412,2021-06-28,2026-06-24,10000,Asia
7203.T,OBV,-0.38216505073473656,-0.09201864185872488,-0.35749437859692274,-0.48199509302726934,87,-0.0023423947738214442,0.34587332053742803,-0.08152932960893855,0.367816091954023,0.8547420282429152,0.513172338090011,0.5718687530990058,-0.9540338038337424,SELL,2026-06-16,2686.0,6178.349492652635,2021-06-28,2026-06-24,10000,Asia
7203.T,VWAP,0.21467742561280412,0.039756382208078644,0.06305018043075185,-0.41674182432113926,8,0.019469018163923782,0.22585330428467684,-0.037487335359675786,0.5,2.3386385377317116,0.29418221734357847,0.5718687530990058,-0.35719132748620164,BUY,2025-07-10,2686.0,12146.774256128041,2021-06-28,2026-06-24,10000,Asia
7203.T,Supertrend,-0.2756154621295379,-0.06259232040267837,-0.26358371936406144,-0.3715755180595441,24,-0.008552933214715652,0.2171913689423417,-0.10289100377087448,0.2916666666666667,0.7673803747963086,0.5142700329308453,0.5718687530990058,-0.8474842152285437,SELL,2026-03-05,2686.0,7243.845378704621,2021-06-28,2026-06-24,10000,Asia
7203.T,Parabolic_SAR,-0.0485558104050544,-0.009928454742192505,-0.09551315881797484,-0.359532617307232,47,0.0023508637988001323,0.12437619961612284,-0.0840035746201966,0.3829787234042553,1.1173444308873584,0.5170142700329309,0.5718687530990058,-0.6204245635040602,SELL,2026-06-02,2686.0,9514.441895949456,2021-06-28,2026-06-24,10000,Asia
7203.T,Williams_R,0.43360921081985215,0.07487790244175718,0.17513639967944752,-0.334706263534333,34,0.01702917645283955,0.14652091654404037,-0.10874018436326391,0.6470588235294118,2.0856470707484105,0.5065861690450055,0.5718687530990058,-0.1382595422791536,BUY,2026-05-14,2686.0,14336.092108198522,2021-06-28,2026-06-24,10000,Asia
7203.T,ROC_Momentum,-0.2871499433457967,-0.0656038112386248,-0.27319453973452057,-0.3639570943661268,85,-0.0007320584739908811,0.3262719878948364,-0.0840035746201966,0.3411764705882353,0.9532877700776984,0.4950603732162459,0.5718687530990058,-0.8590186964448024,SELL,2026-06-01,2686.0,7128.500566542033,2021-06-28,2026-06-24,10000,Asia
7203.T,Donchian_Channel,-0.47783656961819815,-0.12213114473865072,-0.45359490549523795,-0.48636557569892946,23,-0.023760907021579528,0.19479166666666667,-0.08829174664107485,0.17391304347826086,0.4028683173719608,0.3331503841931943,0.5718687530990058,-1.049705322717204,SELL,2026-06-24,2686.0,5221.634303818018,2021-06-28,2026-06-24,10000,Asia
7203.T,Keltner_Channel,-0.13078792241465945,-0.02770791278113971,-0.15225421725215577,-0.33733284185957674,20,-0.003181744686852147,0.19479166666666667,-0.07381058248110271,0.4,0.8711087432719026,0.2305159165751921,0.5718687530990058,-0.7026566755136652,SELL,2026-06-24,2686.0,8692.120775853406,2021-06-28,2026-06-24,10000,Asia
6758.T,RSI,0.42092245955564433,0.07296425240586468,0.15860410663526264,-0.23576801752307933,20,0.022126319568067147,0.18995842660697154,-0.13945409429280398,0.65,2.3235688341476552,0.24039517014270034,0.5432420789436954,-0.12231961938805103,SELL,2026-06-04,3250.0,14209.224595556443,2021-06-28,2026-06-24,10000,Asia
6758.T,ADX_DI,-0.05298099901903933,-0.010853293239713846,-0.09239173194671119,-0.2298429787920496,20,0.0004076210035715819,0.15544095277559042,-0.09494725152692948,0.4,1.0248501891606427,0.18221734357848518,0.5432420789436954,-0.5962230779627347,SELL,2026-06-16,3250.0,9470.190009809607,2021-06-28,2026-06-24,10000,Asia
