ticker,company_name,region,exchange,sector,market_cap
7203.T,TOYOTA MOTOR CORP.,Asia,TSE,Unknown,
6758.T,SONY GROUP CORP.,Asia,TSE,Unknown,
9984.T,SOFTBANK GROUP CORP.,Asia,TSE,Unknown,
8306.T,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",Asia,TSE,Unknown,
6861.T,KEYENCE CORP.,Asia,TSE,Unknown,
6501.T,"HITACHI, LTD.",Asia,TSE,Unknown,
6098.T,"RECRUIT HOLDINGS CO., LTD.",Asia,TSE,Unknown,
4063.T,"SHIN-ETSU CHEMICAL CO., LTD.",Asia,TSE,Unknown,
8035.T,TOKYO ELECTRON LTD.,Asia,TSE,Unknown,
9432.T,"NTT, INC.",Asia,TSE,Unknown,
7974.T,"NINTENDO CO., LTD.",Asia,TSE,Unknown,
9983.T,"FAST RETAILING CO., LTD.",Asia,TSE,Unknown,
4519.T,"CHUGAI PHARMACEUTICAL CO., LTD.",Asia,TSE,Unknown,
8058.T,MITSUBISHI CORP.,Asia,TSE,Unknown,
4568.T,"DAIICHI SANKYO CO., LTD.",Asia,TSE,Unknown,
6367.T,"DAIKIN INDUSTRIES, LTD.",Asia,TSE,Unknown,
4502.T,"TAKEDA PHARMACEUTICAL CO., LTD.",Asia,TSE,Unknown,
6902.T,DENSO CORP.,Asia,TSE,Unknown,
8001.T,ITOCHU CORP.,Asia,TSE,Unknown,
8766.T,"TOKIO MARINE HOLDINGS, INC.",Asia,TSE,Unknown,
8316.T,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",Asia,TSE,Unknown,
7267.T,"HONDA MOTOR CO., LTD.",Asia,TSE,Unknown,
9433.T,KDDI CORP.,Asia,TSE,Unknown,
6954.T,FANUC CORP.,Asia,TSE,Unknown,
6981.T,"MURATA MANUFACTURING CO., LTD.",Asia,TSE,Unknown,
7751.T,CANON INC.,Asia,TSE,Unknown,
3382.T,"SEVEN & I HOLDINGS CO., LTD.",Asia,TSE,Unknown,
7741.T,HOYA CORP.,Asia,TSE,Unknown,
8411.T,"MIZUHO FINANCIAL GROUP, INC.",Asia,TSE,Unknown,
7269.T,SUZUKI MOTOR CORP.,Asia,TSE,Unknown,
6702.T,FUJITSU LTD.,Asia,TSE,Unknown,
6503.T,MITSUBISHI ELECTRIC CORP.,Asia,TSE,Unknown,
4503.T,ASTELLAS PHARMA INC.,Asia,TSE,Unknown,
8053.T,SUMITOMO CORP.,Asia,TSE,Unknown,
9020.T,EAST JAPAN RAILWAY CO.,Asia,TSE,Unknown,
5108.T,BRIDGESTONE CORP.,Asia,TSE,Unknown,
8801.T,"MITSUI FUDOSAN CO., LTD.",Asia,TSE,Unknown,
9022.T,"CENTRAL JAPAN RAILWAY CO., LTD.",Asia,TSE,Unknown,
9202.T,ANA HOLDINGS INC.,Asia,TSE,Unknown,
4901.T,FUJIFILM HOLDINGS CORP.,Asia,TSE,Unknown,
6762.T,TDK CORP.,Asia,TSE,Unknown,
6752.T,PANASONIC HOLDINGS CORP.,Asia,TSE,Unknown,
6301.T,KOMATSU LTD.,Asia,TSE,Unknown,
7201.T,"NISSAN MOTOR CO., LTD.",Asia,TSE,Unknown,
