ticker,company_name,region,exchange,sector,market_cap
7202.T,ISUZU MOTORS LTD.,Asia,TSE,Unknown,
7733.T,OLYMPUS CORP.,Asia,TSE,Unknown,
4543.T,TERUMO CORP.,Asia,TSE,Unknown,
1925.T,"DAIWA HOUSE IND. CO., LTD.",Asia,TSE,Unknown,
2502.T,"ASAHI GROUP HOLDINGS, LTD.",Asia,TSE,Unknown,
2503.T,"KIRIN HOLDINGS CO., LTD.",Asia,TSE,Unknown,
2914.T,JAPAN TOBACCO INC.,Asia,TSE,Unknown,
2802.T,"AJINOMOTO CO., INC.",Asia,TSE,Unknown,
2801.T,KIKKOMAN CORP.,Asia,TSE,Unknown,
2269.T,"MEIJI HOLDINGS CO., LTD.",Asia,TSE,Unknown,
2282.T,NH FOODS LTD.,Asia,TSE,Unknown,
2871.T,NICHIREI CORP.,Asia,TSE,Unknown,
3861.T,OJI HOLDINGS CORP.,Asia,TSE,Unknown,
3402.T,"TORAY INDUSTRIES, INC.",Asia,TSE,Unknown,
3407.T,ASAHI KASEI CORP.,Asia,TSE,Unknown,
4005.T,"SUMITOMO CHEMICAL CO., LTD.",Asia,TSE,Unknown,
4042.T,TOSOH CORP.,Asia,TSE,Unknown,
4043.T,TOKUYAMA CORP.,Asia,TSE,Unknown,
4183.T,"MITSUI CHEMICALS, INC.",Asia,TSE,Unknown,
4188.T,MITSUBISHI CHEMICAL GROUP CORP.,Asia,TSE,Unknown,
4208.T,UBE CORP.,Asia,TSE,Unknown,
4452.T,KAO CORP.,Asia,TSE,Unknown,
4631.T,DIC Corporation,Asia,TSE,Unknown,
4902.T,"KONICA MINOLTA, INC.",Asia,TSE,Unknown,
5019.T,"IDEMITSU KOSAN CO., LTD.",Asia,TSE,Unknown,
5020.T,"ENEOS HOLDINGS, INC.",Asia,TSE,Unknown,
5101.T,"THE YOKOHAMA RUBBER CO., LTD.",Asia,TSE,Unknown,
5201.T,AGC INC.,Asia,TSE,Unknown,
5202.T,"Nippon Sheet Glass Company, Limited",Asia,TSE,Unknown,
5214.T,"NIPPON ELECTRIC GLASS CO., LTD.",Asia,TSE,Unknown,
5233.T,TAIHEIYO CEMENT CORP.,Asia,TSE,Unknown,
5301.T,"TOKAI CARBON CO., LTD.",Asia,TSE,Unknown,
5332.T,TOTO LTD.,Asia,TSE,Unknown,
5333.T,NGK CORP.,Asia,TSE,Unknown,
5401.T,NIPPON STEEL CORP.,Asia,TSE,Unknown,
5406.T,"KOBE STEEL, LTD.",Asia,TSE,Unknown,
5411.T,"JFE HOLDINGS, INC.",Asia,TSE,Unknown,
5631.T,"THE JAPAN STEEL WORKS, LTD.",Asia,TSE,Unknown,
5703.T,"Nippon Light Metal Holdings Company, Ltd.",Asia,TSE,Unknown,
5706.T,"MITSUI KINZOKU CO., LTD.",Asia,TSE,Unknown,
5711.T,MITSUBISHI MATERIALS CORP.,Asia,TSE,Unknown,
5713.T,"SUMITOMO METAL MINING CO., LTD.",Asia,TSE,Unknown,
5801.T,"FURUKAWA ELECTRIC CO., LTD.",Asia,TSE,Unknown,
5802.T,"SUMITOMO ELECTRIC IND., LTD.",Asia,TSE,Unknown,
5803.T,FUJIKURA LTD.,Asia,TSE,Unknown,
5901.T,"Toyo Seikan Group Holdings, Ltd.",Asia,TSE,Unknown,
6113.T,"AMADA CO., LTD.",Asia,TSE,Unknown,
6302.T,"SUMITOMO HEAVY IND., LTD.",Asia,TSE,Unknown,
6305.T,"HITACHI CONST. MACH. CO., LTD.",Asia,TSE,Unknown,
6326.T,KUBOTA CORP.,Asia,TSE,Unknown,
6361.T,EBARA CORP.,Asia,TSE,Unknown,
6471.T,NSK LTD.,Asia,TSE,Unknown,
6472.T,NTN CORP.,Asia,TSE,Unknown,
6473.T,JTEKT CORP.,Asia,TSE,Unknown,
6479.T,MINEBEA MITSUMI INC.,Asia,TSE,Unknown,
4151.T,"KYOWA KIRIN CO., LTD.",Asia,TSE,Unknown,
