ticker,company_name,region,exchange,sector,market_cap
5199.KL,Hibiscus Petroleum Berhad,Malaysia,Bursa Malaysia,Unknown,
5250.KL,7-Eleven Malaysia Holdings Berhad,Malaysia,Bursa Malaysia,Unknown,
5257.KL,Carimin Petroleum Berhad,Malaysia,Bursa Malaysia,Unknown,
5318.KL,DXN Holdings Bhd.,Malaysia,Bursa Malaysia,Unknown,
5138.KL,Hap Seng Plantations Holdings Berhad,Malaysia,Bursa Malaysia,Unknown,
5172.KL,Sinaran Advance Group Berhad,Malaysia,Bursa Malaysia,Unknown,
5248.KL,Bermaz Auto Berhad,Malaysia,Bursa Malaysia,Unknown,
5020.KL,Glomac Berhad,Malaysia,Bursa Malaysia,Unknown,
5069.KL,BLD Plantation Bhd.,Malaysia,Bursa Malaysia,Unknown,
5106.KL,Axis Real Estate Investment Trust,Malaysia,Bursa Malaysia,Unknown,
5147.KL,Samchem Holdings Berhad,Malaysia,Bursa Malaysia,Unknown,
5200.KL,UOA Development Bhd,Malaysia,Bursa Malaysia,Unknown,
5210.KL,Bumi Armada Berhad,Malaysia,Bursa Malaysia,Unknown,
5272.KL,Ranhill Utilities Berhad,Malaysia,Bursa Malaysia,Unknown,
5284.KL,Lotte Chemical Titan Holding Berhad,Malaysia,Bursa Malaysia,Unknown,
5291.KL,HPMT Holdings Berhad,Malaysia,Bursa Malaysia,Unknown,
5301.KL,CTOS Digital Berhad,Malaysia,Bursa Malaysia,Unknown,
7054.KL,Astral Asia Berhad,Malaysia,Bursa Malaysia,Unknown,
7078.KL,Ahmad Zaki Resources Berhad,Malaysia,Bursa Malaysia,Unknown,
7202.KL,Hextar Retail Berhad,Malaysia,Bursa Malaysia,Unknown,
7247.KL,SCGM Bhd,Malaysia,Bursa Malaysia,Unknown,
7293.KL,Yinson Holdings Berhad,Malaysia,Bursa Malaysia,Unknown,
